Winrate,Packs-OLD,Packs-NEW,Gems-OLD,Gems-NEW,Rounds-OLD,NetGemsOld,NetGemsNew,Difference
0.45000000000000023,2.563304,2.45651,-950.0852,-893.286,3.47485,162.57560000000012,198.0160000000002,35.44040000000007
0.46000000000000024,2.6204,2.51706,-922.9098,-864.548,3.523144,201.1701999999999,238.86400000000003,37.693800000000124
0.47000000000000025,2.675242,2.574118,-897.094,-836.598,3.568742,237.95440000000008,278.2256,40.27119999999991
0.48000000000000026,2.734014,2.632656,-869.361,-808.128,3.617808,277.44179999999994,318.40319999999986,40.96139999999991
0.49000000000000027,2.800132,2.693614,-839.211,-778.15,3.670364,320.81539999999995,360.57280000000003,39.757400000000075
0.5000000000000002,2.860254,2.7521,-810.6004,-748.412,3.719762,361.45039999999995,402.00800000000004,40.55760000000009
0.5100000000000002,2.920748,2.811472,-782.1646,-720.0,3.767706,401.98500000000024,442.2944,40.309399999999755
0.5200000000000002,2.983888,2.869278,-752.3044,-689.694,3.817156,444.4731999999999,484.1615999999999,39.6884
0.5300000000000002,3.049534,2.932066,-721.7332,-658.162,3.866952,488.17359999999996,528.2511999999999,40.07759999999996
0.5400000000000003,3.115208,2.998644,-690.641,-622.692,3.916742,532.4006,577.0367999999999,44.6361999999998
0.5500000000000003,3.177832,3.05605,-661.842,-592.738,3.965268,573.7244000000002,618.472,44.74759999999981
0.5600000000000003,3.24861,3.120474,-628.4898,-559.234,4.017984,621.2322000000003,664.8608,43.62859999999978
0.5700000000000003,3.320268,3.181494,-594.7584,-526.166,4.07143,669.2951999999999,710.1328,40.837600000000066
0.5800000000000003,3.389376,3.24178,-562.6574,-492.436,4.120782,715.2177999999999,755.9200000000001,40.702200000000175
0.5900000000000003,3.457956,3.308868,-529.9554,-457.652,4.168894,761.6357999999998,804.1216,42.485800000000154
0.6000000000000003,3.531122,3.374432,-496.1172,-420.952,4.219642,810.1072,853.9343999999999,43.827199999999834
0.6100000000000003,3.606392,3.441556,-461.2042,-384.332,4.273186,860.0742000000001,903.9792000000001,43.90499999999997
0.6200000000000003,3.683092,3.506136,-425.325,-347.288,4.324654,911.2933999999998,953.9392,42.645800000000236
0.6300000000000003,3.750332,3.572008,-394.7554,-309.336,4.370304,955.3110000000001,1005.0655999999999,49.754599999999755
0.6400000000000003,3.827072,3.636206,-359.1132,-272.686,4.419022,1006.3012000000001,1054.5552,48.253999999999905
0.6500000000000004,3.904242,3.702874,-323.4326,-233.354,4.469464,1057.4157999999998,1107.2207999999998,49.805000000000064
0.6600000000000004,3.98274,3.774092,-287.2082,-191.452,4.518912,1109.3398,1163.3664,54.026600000000144
0.6700000000000004,4.061302,3.83673,-251.6324,-153.13,4.568552,1160.6280000000002,1214.216,53.58799999999974
0.6800000000000004,4.138836,3.901848,-216.0752,-113.888,4.614938,1211.6920000000002,1266.4816,54.78959999999984
0.6900000000000004,4.21531,3.968512,-181.1918,-73.0,4.659692,1261.8701999999998,1320.7024000000001,58.832200000000284
0.7000000000000004,4.291474,4.042028,-146.368,-27.804,4.70429,1311.9268000000002,1380.6016,68.67479999999978
0.7100000000000004,4.371936,4.104204,-110.0244,12.86,4.750174,1364.3628,1433.7007999999998,69.33799999999974
0.7200000000000004,4.452494,4.169722,-73.3604,52.63,4.79425,1417.1383999999998,1486.5744000000002,69.43600000000038
0.7300000000000004,4.530384,4.239222,-38.7674,97.898,4.835764,1467.3093999999999,1545.7423999999999,78.43299999999999
0.7400000000000004,4.610044,4.312504,-2.683,146.392,4.877484,1519.3258,1608.8927999999999,89.56699999999978
0.7500000000000004,4.686604,4.374288,31.237,186.88,4.915188,1568.5578,1661.7376,93.17979999999989
0.7600000000000005,4.76418,4.44423,65.7882,233.714,4.951446,1618.6241999999997,1722.56,103.9358000000002
0.7700000000000005,4.842664,4.51163,101.033,279.29,4.989432,1669.5657999999999,1781.616,112.05020000000013
0.7800000000000005,4.916212,4.574428,133.4226,323.236,5.021948,1716.665,1838.1216,121.45659999999998
0.7900000000000005,4.992722,4.648424,167.4422,374.624,5.053826,1765.9865999999997,1904.3088,138.3222000000003
0.8000000000000005,5.07023,4.711438,201.4366,420.122,5.085672,1815.4825999999998,1962.4096000000002,146.92700000000036
0.8100000000000005,5.141702,4.777794,232.6,467.438,5.11244,1860.9404,2022.9968,162.05639999999994
0.8200000000000005,5.212784,4.848148,263.71,518.156,5.137788,1906.2668,2087.7856,181.51880000000006
0.8300000000000005,5.285518,4.91504,295.3942,568.616,5.159952,1952.4977999999999,2151.624,199.12619999999993
0.8400000000000005,5.35152,4.976112,324.3018,614.048,5.181324,1994.6057999999998,2209.2704,214.66460000000006
0.8500000000000005,5.420512,5.04525,353.8638,667.302,5.199758,2037.9662,2276.3520000000003,238.38580000000024
0.8600000000000005,5.483766,5.111174,381.3522,717.154,5.212316,2078.1054,2339.3888,261.28340000000026
0.8700000000000006,5.54832,5.178858,409.0122,770.654,5.225136,2118.6762,2406.4256,287.74940000000015
0.8800000000000006,5.606702,5.245676,434.2474,824.772,5.23353,2155.5878000000002,2473.9072,318.31939999999986
0.8900000000000006,5.661032,5.30697,457.0594,874.798,5.23598,2189.2658,2536.192,346.9261999999999
0.9000000000000006,5.711564,5.374244,478.773,930.292,5.23577,2221.0858,2605.1408,384.0550000000003
0.9100000000000006,5.763792,5.438188,500.876,983.916,5.234788,2253.6344,2671.5536,417.9192000000003
0.9200000000000006,5.809008,5.50308,520.0244,1039.328,5.22671,2281.826,2739.944,458.11799999999994
0.9300000000000006,5.850958,5.567344,537.7974,1095.368,5.214808,2307.989,2808.8368,500.8478
0.9400000000000006,5.88839,5.63006,553.44,1150.7,5.199924,2331.1180000000004,2876.7120000000004,545.594
0.9500000000000006,5.922614,5.693832,567.8146,1208.0,5.180164,2352.3374,2946.7664,594.4290000000001
0.9600000000000006,5.948858,5.755266,578.698,1264.35,5.154916,2368.4696,3015.4031999999997,646.9335999999998
0.9700000000000006,5.971032,5.818662,588.0796,1323.698,5.125318,2382.286,3087.4304,705.1444000000001
0.9800000000000006,5.986562,5.878842,594.4318,1381.07,5.088128,2391.7442,3156.8383999999996,765.0941999999995
0.9900000000000007,5.996514,5.93944,598.5628,1440.04,5.046882,2397.8656,3227.928,830.0623999999998
1.0000000000000007,6.0,6.0,600.0,1500.0,5.0,2400.0,3300.0,900.0
